States/Uts,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11 ,2011-12 (Pre Actual),2012-13 (Pre. Actual),2013-14 (BE)
Andhra Pradesh,168.43,198.47,207.26,214.68,222.65,243.58,280.48,314.44,296.05,204.44,152.34,148.86,166.99,150.31,143.62,145.6,138.2
Arunanchal Pradesh,57.1,61.29,72.85,76.87,72.8,87.16,110.13,137.76,130.42,91.47,91.64,76.03,73.2,61.22,63.97,64.6,48.63
Assam,149.55,150.12,179.01,181.41,200.98,192.82,202.03,171.51,152.77,142.61,128.38,122.59,125.86,96.01,90.01,86.65,89.84
Bihar,248.8,291.61,308.33,267.88,346.93,348.76,321.13,274.8,265.12,215.94,157.66,148.16,148.49,128.12,119.95,119.31,105.34
Chhattisgarh,NA,NA,NA,370.01,185.59,177.06,181.65,167.38,149.23,122.6,87.24,94.35,87.79,73.49,60.84,65.44,64.87
NCT of Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.92,155.22,129.79,120.44,132.22,114.4,81.94
Goa,141.53,168.75,204.41,190.26,200.05,191.11,239.35,242.69,236.33,272.63,219.35,206.58,184.09,175.74,143.72,134.8,132.92
Gujarat,183.54,196.72,244.71,271.82,299.76,308.67,341.45,352.01,291.93,293.39,250.46,276.02,296.51,273.1,253.81,232.53,216.1
Haryana,137.51,187.09,239.48,222.85,233.22,230.43,228.07,223.34,194.75,163.25,145.05,172.43,186.87,181.67,167.64,204.85,176.04
Himachal Pradesh,198.03,276.1,211.09,285.82,271.25,334.21,361.2,355.66,265.15,231.54,232.37,248.73,223.88,196.38,182.18,184.04,200.91
Jammu & Kashmir,123.57,142.58,140.35,160.79,148.35,139.48,179.35,179.07,178.64,164.2,108.58,120.5,146.48,14.07,1421.37,149.56,129.55
Jharkhand,NA,NA,NA,430.09,222,240.78,178.01,196.53,199.96,190.3,179.73,182.37,179.68,152.57,145.12,153.05,126.89
Karnataka,138.96,155.89,163.7,171.02,205.1,224.61,192.48,169.5,163.37,154.52,146.15,165.28,169.83,157.96,153.48,137.36,141.51
Kerala,203.27,240.8,279.71,300.76,326.13,322.67,331.36,323.65,313.07,287.67,262.52,258.12,271.82,253.86,235.31,210.17,231.3
Madhya Pradesh,159.68,193.52,196.41,172.34,232.3,223.16,265.71,225.83,241.04,205.22,198.41,191.07,172.91,151.39,135.39,127.91,132.77
Maharashtra,182.37,203.63,232.74,228.64,260.99,289.21,310.84,303.69,301.89,258.45,178.91,197.7,208.78,189.27,190.53,191.96,202.55
Manipur,120.55,148.13,150.94,179.08,158.97,142.37,178.7,193.08,179.17,146.19,129.06,125.86,142.49,114.01,108.65,93.79,76.56
Meghalaya,94.46,103.54,118.39,122.63,136.04,141.23,151.77,155.87,149.4,131.59,128.59,127.07,110.26,95.92,104.33,88.85,64.7
Mizoram,113.46,108.96,136.92,166.15,197.53,192.65,190.09,194.56,190.73,170.34,150.14,122.36,106.76,128.96,109.88,68.04,86.36
Nagaland,102.24,107.64,122.81,127.95,142.29,177.15,101.24,143.41,132.59,116.32,129.64,135.31,137.1,117.29,115.28,106.99,94.33
Odisha,294.39,357.5,350.25,350.89,399.53,365.8,358.57,312.08,289.14,288.69,198.75,181.05,153.66,126.79,105.46,97.61,95.19
Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.84,114.11,117.36,126.27,168.22,162.54,166.6
Punjab,281.89,379.16,356.33,328.07,400.17,362.43,352.74,340.91,296.18,248.01,291,298.61,306.78,270.85,316.82,289.58,241.29
Rajasthan,229.49,281.56,323.63,286.59,342.58,363.37,344.33,337.59,317.86,278.1,250.61,251.05,258.68,216.17,186.91,176.06,170.27
Sikkim,63,89.7,111.08,133.29,123.85,109.04,112.48,113.98,118.79,66.57,104.26,105.34,97.42,112.93,85.98,79.74,77.22
Tamil Nadu,143.61,162.61,181.09,188.58,207.61,213.43,218.34,196.71,188.01,167.58,149.56,151.99,177.6,159.08,148.78,146.9,146.32
Tripura,107.48,120.24,138.57,145.54,150.85,174.36,187.16,188.33,177.18,138.75,128.31,124.28,131.27,125.04,105.97,108.83,100.5
Uttar Pradesh,298.38,357.35,362.57,335.84,374.34,377.86,392.13,362.26,340.65,276.86,214.3,201.74,181.47,176.82,159.3,143.33,127.98
Uttarakhand,NA,NA,NA,437.7,183.61,195.08,229.8,247.77,217.03,180.49,165.22,167.27,179.52,170.63,158.62,157.79,340.89
West Bengal,278.84,342.95,431.32,378.24,456.69,539.23,538.71,488.71,482.25,480.69,439.13,393.11,454.16,396.47,360.12,340.54,282.97

